learning_rate,exec_time (s),training_loss
0.0001,24.77,0.7757
0.0001,16.25,0.3607
0.0001,16.21,0.1806
0.0001,16.21,0.1476
0.0001,16.14,0.1214
0.0001,16.2,0.1072
0.0001,16.18,0.0992
0.0001,16.24,0.0871
0.0001,16.18,0.087
0.0001,16.19,0.0699
0.0001,16.2,0.0619
0.0001,16.21,0.0638
0.0001,16.18,0.0558
0.0001,16.21,0.0514
0.0001,16.16,0.0493
0.0001,16.19,0.0475
0.0001,16.26,0.0646
0.0001,16.16,0.0485
0.0001,16.2,0.0442
0.0001,16.18,0.0413
0.0001,16.18,0.0392
0.0001,16.14,0.0388
0.0001,16.15,0.0371
0.0001,16.19,0.0346
0.0001,16.27,0.0338
0.0001,16.2,0.0329
0.0001,16.17,0.0314
0.0001,16.19,0.0308
0.0001,16.27,0.0305
0.0001,16.21,0.0305
